id,jobId,year,apkFileName,sha256hash,packageName,versionName,numClasses,numMethods,numUnits,numLibClasses,numAppClasses
2282,2404,20162,/home/apps/2016-AndroZoo-PlayStore/com.Pinkside.OldSchoolSpaceShooter.apk,823575b4e629124da18647f95c00ac4cc0398753d1480f2cee8d5bc6c93291b6,com.Pinkside.OldSchoolSpaceShooter,"2,5",0,0,0,,
3896,4023,2021,/home/apps/2021-Playstore/GAME_ROLE_PLAYING/com.swiftappskom.thewolfrpg.apk,3ff63371376227fc262a42b97a3827cae120c0b44767b715fc2066c04ce744b3,com.swiftappskom.thewolfrpg,2.0.4,0,0,0,,
12,802,2010,/home/apps/2010-AndroZoo-PlayStore/air.sheep2.apk,294293ae24112363bdb9972ee53d56ff56aa648f76edb4ab238d646b8a7c2a10,air.sheep2,2.0.0,0,0,0,,
2198,2435,20162,/home/apps/2016-AndroZoo-PlayStore/com.gmail.catmob16.He_Man_Masters_Game.apk,a527990088b313a4d917ac368884c355cd07c63e3aaa457d0e3f07e23473d851,com.gmail.catmob16.He_Man_Masters_Game,1.0.0,0,0,0,,
20,850,2010,/home/apps/2010-AndroZoo-PlayStore/com.seedlabs.hullabalou.apk,dc3a1512c64c558a97714b47c73d290e76cde7a6a55d2d36a0c8130658f1127e,com.seedlabs.hullabalou,1.2,0,0,0,,
35,809,2010,/home/apps/2010-AndroZoo-PlayStore/factory.widgets.HeroClock7.apk,aa504d540fcc4c4caafe640654ffc070d8c87ab89c09303cdda8253d7d90fbc8,factory.widgets.HeroClock7,1.0,0,0,0,,
13,871,2010,/home/apps/2010-AndroZoo-PlayStore/com.reincloud.compasstalk.apk,0d70ea5f2a261621804fe4b85ec05bd50dec78c5d588dc0fe6a6af5020d9a7f3,com.reincloud.compasstalk,1.2,0,0,0,,
26,795,2010,/home/apps/2010-AndroZoo-PlayStore/org.ferdef.android.utils.darkfinder.apk,c05823b260e725d4575c50308786065a37008d109c13f88f89c42199054c4264,org.ferdef.android.utils.darkfinder,1.0,0,0,0,,
25,654,2010,/home/apps/2010-AndroZoo-PlayStore/org.mozilla.fennec_auroraEA07FCF798BD812DE6ACC4BC42AFCE1E0CEE1681.apk,8758e5cd1d1604ee57d9d486e28e1fd2cf88f22736928aba023d4b5cab67cb16,org.mozilla.fennec_aurora,65.0a1,0,0,0,,
14,655,2010,/home/apps/2010-AndroZoo-PlayStore/com.iPhand.LoveQuotes.apk,172cfa96ec8c76dc933f54c37d73d81dd2f38529c6d500b9a2b47e43fd19d943,com.iPhand.LoveQuotes,1.0,0,0,0,,
21,711,2010,/home/apps/2010-AndroZoo-PlayStore/us.engy.mealshare.apk,e240756064f96b7d974ddcc6b6c738a8c69a2dad70b9e99b58f3c359994cf0fd,us.engy.mealshare,1.2,0,0,0,,
29,881,2010,/home/apps/2010-AndroZoo-PlayStore/com.mobisystems.msdict.embedded.wireless.msdict.engbg.apk,8c67d00746f21bf543b149f42f12ae85923aa74b1b6a2846c44db43b93308c8f,com.mobisystems.msdict.embedded.wireless.msdict.engbg,2.11(65),0,0,0,,
