id,libraryName,category,numFindings
1,minidns,Code Quality,0
2,minidns,Cryptography,32
3,JJWT :: API,Code Quality,0
4,JJWT :: API,Cryptography,72
5,Jetty :: Websocket,Code Quality,0
6,Jetty :: Websocket,Cryptography,4
7,com.crashlytics.sdk.android:crashlytics,Code Quality,0
8,com.crashlytics.sdk.android:crashlytics,Cryptography,6
9,RestFB,Code Quality,0
10,RestFB,Cryptography,7
11,Bytes Utility Library,Code Quality,1
12,Bytes Utility Library,Cryptography,1
13,Apache JAMES Mime4j,Code Quality,0
14,Apache JAMES Mime4j,Cryptography,35
15,Okio,Code Quality,0
16,Okio,Cryptography,5732
17,Facebook Core,Code Quality,0
18,Facebook Core,Cryptography,199
19,Smack,Code Quality,0
20,Smack,Cryptography,68
21,Cloudinary Core Library,Code Quality,0
22,Cloudinary Core Library,Cryptography,5
23,Asynchronous Http Client,Code Quality,0
24,Asynchronous Http Client,Cryptography,25
25,Amplitude Android SDK,Code Quality,0
26,Amplitude Android SDK,Cryptography,74
27,Codec,Code Quality,0
28,Codec,Cryptography,903
29,Scribe OAuth Library,Code Quality,0
30,Scribe OAuth Library,Cryptography,40
31,smbj,Code Quality,0
32,smbj,Cryptography,12
33,com.google.android.gms:play-services-iid,Code Quality,0
34,com.google.android.gms:play-services-iid,Cryptography,1106
35,okhttp,Code Quality,0
36,okhttp,Cryptography,664
37,AppNexus Android SDK,Code Quality,0
38,AppNexus Android SDK,Cryptography,6
39,JSON Web Token support for the JVM,Code Quality,0
40,JSON Web Token support for the JVM,Cryptography,648
41,Google HTTP Client Library for Java,Code Quality,0
42,Google HTTP Client Library for Java,Cryptography,40
43,com.google.firebase:firebase-perf,Code Quality,0
44,com.google.firebase:firebase-perf,Cryptography,8
45,Smack Extensions,Code Quality,0
46,Smack Extensions,Cryptography,3
47,Apache HttpClient,Code Quality,0
48,Apache HttpClient,Cryptography,122
49,com.google.android.ads.consent:consent-library,Code Quality,0
50,com.google.android.ads.consent:consent-library,Cryptography,53
51,Apache Avro Tools,Code Quality,0
52,Apache Avro Tools,Cryptography,8
53,com.google.android.gms:play-services-appindexing,Code Quality,0
54,com.google.android.gms:play-services-appindexing,Cryptography,13492
55,org.eclipse.paho:org.eclipse.paho.client.mqttv3,Code Quality,0
56,org.eclipse.paho:org.eclipse.paho.client.mqttv3,Cryptography,6
57,ISO Parser,Code Quality,0
58,ISO Parser,Cryptography,84
59,ApacheDS All,Code Quality,0
60,ApacheDS All,Cryptography,18
61,PDF Renderer,Code Quality,0
62,PDF Renderer,Cryptography,8
63,dexmaker,Code Quality,0
64,dexmaker,Cryptography,1
65,net.lingala.zip4j:zip4j,Code Quality,0
66,net.lingala.zip4j:zip4j,Cryptography,23
67,stripe-java,Code Quality,0
68,stripe-java,Cryptography,13
69,Apache FreeMarker,Code Quality,0
70,Apache FreeMarker,Cryptography,4
71,Apache FtpServer Core,Code Quality,0
72,Apache FtpServer Core,Cryptography,3
73,com.google.android.libraries.places:places-compat,Code Quality,0
74,com.google.android.libraries.places:places-compat,Cryptography,9
75,AWS SDK for Android - Core Runtime,Code Quality,0
76,AWS SDK for Android - Core Runtime,Cryptography,88
77,com.google.android.gms:play-services-tagmanager-api,Code Quality,0
78,com.google.android.gms:play-services-tagmanager-api,Cryptography,2036
79,Reflection Utilities,Code Quality,0
80,Reflection Utilities,Cryptography,1
81,scrypt,Code Quality,0
82,scrypt,Cryptography,2
83,JavaMail API (compat),Code Quality,0
84,JavaMail API (compat),Cryptography,46
85,iText Core,Code Quality,0
86,iText Core,Cryptography,143
87,twitter4j-core,Code Quality,0
88,twitter4j-core,Cryptography,300
89,Processor,Code Quality,0
90,Processor,Cryptography,4
91,LDAP Class Libraries for Java (JLDAP),Code Quality,0
92,LDAP Class Libraries for Java (JLDAP),Cryptography,10
93,com.google.android.gms:play-services-analytics-impl,Code Quality,0
94,com.google.android.gms:play-services-analytics-impl,Cryptography,483
95,socialauth,Code Quality,0
96,socialauth,Cryptography,6
97,flink-runtime,Code Quality,0
98,flink-runtime,Cryptography,4
99,JSch,Code Quality,0
100,JSch,Cryptography,159
101,aliyun-oss-sdk-android,Code Quality,0
102,aliyun-oss-sdk-android,Cryptography,5
103,Nimbus JOSE+JWT,Code Quality,0
104,Nimbus JOSE+JWT,Cryptography,670
105,Universal Image Loader Library,Code Quality,0
106,Universal Image Loader Library,Cryptography,93
107,Apache Commons Math,Code Quality,0
108,Apache Commons Math,Cryptography,2
109,Branch Android SDK,Code Quality,0
110,Branch Android SDK,Cryptography,17
111,Android Common Library Billing,Code Quality,0
112,Android Common Library Billing,Cryptography,22
113,SoLoader,Code Quality,0
114,SoLoader,Cryptography,46
115,XZ for Java,Code Quality,0
116,XZ for Java,Cryptography,7
117,com.google.firebase:firebase-ml-natural-language-translate,Code Quality,0
118,com.google.firebase:firebase-ml-natural-language-translate,Cryptography,1
119,Apache Commons Compress,Code Quality,0
120,Apache Commons Compress,Cryptography,9
121,GNU Crypto,Code Quality,0
122,GNU Crypto,Cryptography,14
123,facebook4j-core,Code Quality,0
124,facebook4j-core,Cryptography,2
125,AndroidAsync,Code Quality,0
126,AndroidAsync,Cryptography,26
127,com.google.firebase:firebase-database-connection,Code Quality,0
128,com.google.firebase:firebase-database-connection,Cryptography,3
129,Java Client for Google Maps Services,Code Quality,0
