id,libraryName,algorithm,numFindings
1,com.crashlytics.sdk.android:crashlytics,n/a,0
2,com.crashlytics.sdk.android:crashlytics,sha-224,0
3,com.crashlytics.sdk.android:crashlytics,SHA1,1
4,com.crashlytics.sdk.android:crashlytics,HmacSHA512,0
5,com.crashlytics.sdk.android:crashlytics,HMACT64,0
6,com.crashlytics.sdk.android:crashlytics,SHA384withRSAandMGF1,0
7,com.crashlytics.sdk.android:crashlytics,CAST5,0
8,com.crashlytics.sdk.android:crashlytics,CAST6,0
9,com.crashlytics.sdk.android:crashlytics,NONE,0
10,com.crashlytics.sdk.android:crashlytics,cast5-64,0
11,com.crashlytics.sdk.android:crashlytics,rc2,0
12,com.crashlytics.sdk.android:crashlytics,RC2,0
13,com.crashlytics.sdk.android:crashlytics,RSA,0
14,com.crashlytics.sdk.android:crashlytics,RC4,0
15,com.crashlytics.sdk.android:crashlytics,sha-512,0
16,com.crashlytics.sdk.android:crashlytics,UNKNOWNwithPKCS5S2,0
17,com.crashlytics.sdk.android:crashlytics,ECGOST3410,0
18,com.crashlytics.sdk.android:crashlytics,PBEWITHSHAAND256BITAES-CBC-BC,0
19,com.crashlytics.sdk.android:crashlytics,SHA384withECDSA,0
20,com.crashlytics.sdk.android:crashlytics,MAC,0
21,com.crashlytics.sdk.android:crashlytics,HMAC-SHA1,0
22,com.crashlytics.sdk.android:crashlytics,sha1,0
23,com.crashlytics.sdk.android:crashlytics,0,0
24,com.crashlytics.sdk.android:crashlytics,SHA256withRSA,0
25,com.crashlytics.sdk.android:crashlytics,XMSS,0
26,com.crashlytics.sdk.android:crashlytics,2.,0
27,com.crashlytics.sdk.android:crashlytics,SHA3-256,0
28,com.crashlytics.sdk.android:crashlytics,ECMQV,0
29,com.crashlytics.sdk.android:crashlytics,rsa,0
30,com.crashlytics.sdk.android:crashlytics,AES/CTR/NoPadding,0
31,com.crashlytics.sdk.android:crashlytics,SHA384withRSA,0
32,com.crashlytics.sdk.android:crashlytics,SHA1withDSA,0
33,com.crashlytics.sdk.android:crashlytics,undefined,0
34,com.crashlytics.sdk.android:crashlytics,HmacMD5,0
35,com.crashlytics.sdk.android:crashlytics,RSA/ECB/PKCS1Padding,0
36,com.crashlytics.sdk.android:crashlytics,SHA3-384,0
37,com.crashlytics.sdk.android:crashlytics,RSA/ECB/OAEPWithSHA1AndMGF1Padding,0
38,com.crashlytics.sdk.android:crashlytics,HMACSHA16,0
39,com.crashlytics.sdk.android:crashlytics,DES/CBC/PKCS5Padding,0
40,com.crashlytics.sdk.android:crashlytics,McEliece,0
41,com.crashlytics.sdk.android:crashlytics,AES/ECB/PKCS7Padding,2
42,com.crashlytics.sdk.android:crashlytics,a,0
43,com.crashlytics.sdk.android:crashlytics,b,0
44,com.crashlytics.sdk.android:crashlytics,[],0
45,com.crashlytics.sdk.android:crashlytics,{},0
46,com.crashlytics.sdk.android:crashlytics,AES/CBC/NoPadding,0
47,com.crashlytics.sdk.android:crashlytics,AES/ECB/NOPADDING,0
48,com.crashlytics.sdk.android:crashlytics,HMACSHA384,0
49,com.crashlytics.sdk.android:crashlytics,Twofish,0
50,com.crashlytics.sdk.android:crashlytics,HMACSHA544,0
51,com.crashlytics.sdk.android:crashlytics,HmacSHA224,0
52,com.crashlytics.sdk.android:crashlytics,DESede/CTR/NoPadding,0
53,com.crashlytics.sdk.android:crashlytics,Null cipher,0
54,com.crashlytics.sdk.android:crashlytics,AESWrap,0
55,com.crashlytics.sdk.android:crashlytics,MD2,0
56,com.crashlytics.sdk.android:crashlytics,MD4,0
57,com.crashlytics.sdk.android:crashlytics,SHA-UNKNOWN,0
58,com.crashlytics.sdk.android:crashlytics,HMAC_MD5,0
59,com.crashlytics.sdk.android:crashlytics,SHA-512,0
60,com.crashlytics.sdk.android:crashlytics,Blowfish,0
61,com.crashlytics.sdk.android:crashlytics,md5,0
62,com.crashlytics.sdk.android:crashlytics,MD5,1
63,com.crashlytics.sdk.android:crashlytics,HmacSha512,0
64,com.crashlytics.sdk.android:crashlytics,ECDH,0
65,com.crashlytics.sdk.android:crashlytics,SHA-1,1
66,com.crashlytics.sdk.android:crashlytics,dh,0
67,com.crashlytics.sdk.android:crashlytics,DH,0
68,com.crashlytics.sdk.android:crashlytics,SHA-384,0
69,com.crashlytics.sdk.android:crashlytics,SHA256withRSAandMGF1,0
70,com.crashlytics.sdk.android:crashlytics,EdDSA,0
71,com.crashlytics.sdk.android:crashlytics,DESede,0
72,com.crashlytics.sdk.android:crashlytics,HMACSHA256,0
73,com.crashlytics.sdk.android:crashlytics,SHA,0
74,com.crashlytics.sdk.android:crashlytics,HMACSHAUNKNOWN,0
75,com.crashlytics.sdk.android:crashlytics,AES/CTR/NOPADDING,0
76,com.crashlytics.sdk.android:crashlytics,DSA,0
77,com.crashlytics.sdk.android:crashlytics,Twofish/CBC/NoPadding,0
78,com.crashlytics.sdk.android:crashlytics,PBKDF2WithHmacSHA1,0
79,com.crashlytics.sdk.android:crashlytics,AES/ECB/NoPadding,0
80,com.crashlytics.sdk.android:crashlytics,DES/ECB/NoPadding,0
81,com.crashlytics.sdk.android:crashlytics,XTEA/CBC/NoPadding,0
82,com.crashlytics.sdk.android:crashlytics,DESede/CBC/NoPadding,0
83,com.crashlytics.sdk.android:crashlytics,SHA-0,0
84,com.crashlytics.sdk.android:crashlytics,DSTU4145,0
85,com.crashlytics.sdk.android:crashlytics,HMAC_SHA_1,0
86,com.crashlytics.sdk.android:crashlytics,AES/CBC/PKCS7Padding,0
87,com.crashlytics.sdk.android:crashlytics,sha-384,0
88,com.crashlytics.sdk.android:crashlytics,EC,0
89,com.crashlytics.sdk.android:crashlytics,AES/CBC/PKCS5Padding,0
90,com.crashlytics.sdk.android:crashlytics,SHA-544,0
91,com.crashlytics.sdk.android:crashlytics,SHA224withDSA,0
92,com.crashlytics.sdk.android:crashlytics,HmacSha256,0
93,com.crashlytics.sdk.android:crashlytics,hmac-sha1,0
94,com.crashlytics.sdk.android:crashlytics,McEliece-CCA2,0
95,com.crashlytics.sdk.android:crashlytics,UNKNOWN/UNKNOWN/NoPadding,0
96,com.crashlytics.sdk.android:crashlytics,XTEA/CBC/PKCS5Padding,0
97,com.crashlytics.sdk.android:crashlytics,RSA/ECB/OAEPWithSHA-256AndMGF1Padding,0
98,com.crashlytics.sdk.android:crashlytics,HMAC_SHA_512,0
99,com.crashlytics.sdk.android:crashlytics,1.2.840.113549.3.2,0
100,com.crashlytics.sdk.android:crashlytics,RSA/ECB/OAEPWithSHA-1AndMGF1Padding,0
101,com.crashlytics.sdk.android:crashlytics,SHA256withDSA,0
102,com.crashlytics.sdk.android:crashlytics,AES,0
103,com.crashlytics.sdk.android:crashlytics,XTEA,0
104,com.crashlytics.sdk.android:crashlytics,SHA-16,0
105,com.crashlytics.sdk.android:crashlytics,1.2.840.10040.4.3,0
