id,libraryName,vulnType,numFindings
1,minidns,CryptoCheckAnalysis_StaticIV,0
2,minidns,CryptoCheckAnalysis_HardCodedKey,0
3,minidns,CryptoCheckAnalysis_UnsafeECB,0
4,minidns,CryptoCheckAnalysis_InsecureCryptoAlgorithm,32
5,minidns,CryptoCheckAnalysis_UnInitializedKey,0
6,JJWT :: API,CryptoCheckAnalysis_StaticIV,0
7,JJWT :: API,CryptoCheckAnalysis_HardCodedKey,0
8,JJWT :: API,CryptoCheckAnalysis_UnsafeECB,0
9,JJWT :: API,CryptoCheckAnalysis_InsecureCryptoAlgorithm,72
10,JJWT :: API,CryptoCheckAnalysis_UnInitializedKey,0
11,com.crashlytics.sdk.android:crashlytics,CryptoCheckAnalysis_StaticIV,0
12,com.crashlytics.sdk.android:crashlytics,CryptoCheckAnalysis_HardCodedKey,0
13,com.crashlytics.sdk.android:crashlytics,CryptoCheckAnalysis_UnsafeECB,1
14,com.crashlytics.sdk.android:crashlytics,CryptoCheckAnalysis_InsecureCryptoAlgorithm,5
15,com.crashlytics.sdk.android:crashlytics,CryptoCheckAnalysis_UnInitializedKey,0
16,Jetty :: Websocket,CryptoCheckAnalysis_StaticIV,0
17,Jetty :: Websocket,CryptoCheckAnalysis_HardCodedKey,0
18,Jetty :: Websocket,CryptoCheckAnalysis_UnsafeECB,0
19,Jetty :: Websocket,CryptoCheckAnalysis_InsecureCryptoAlgorithm,4
20,Jetty :: Websocket,CryptoCheckAnalysis_UnInitializedKey,0
21,RestFB,CryptoCheckAnalysis_StaticIV,0
22,RestFB,CryptoCheckAnalysis_HardCodedKey,0
23,RestFB,CryptoCheckAnalysis_UnsafeECB,0
24,RestFB,CryptoCheckAnalysis_InsecureCryptoAlgorithm,7
25,RestFB,CryptoCheckAnalysis_UnInitializedKey,0
26,Apache JAMES Mime4j,CryptoCheckAnalysis_StaticIV,0
27,Apache JAMES Mime4j,CryptoCheckAnalysis_HardCodedKey,0
28,Apache JAMES Mime4j,CryptoCheckAnalysis_UnsafeECB,0
29,Apache JAMES Mime4j,CryptoCheckAnalysis_InsecureCryptoAlgorithm,35
30,Apache JAMES Mime4j,CryptoCheckAnalysis_UnInitializedKey,0
31,Bytes Utility Library,CryptoCheckAnalysis_StaticIV,0
32,Bytes Utility Library,CryptoCheckAnalysis_HardCodedKey,0
33,Bytes Utility Library,CryptoCheckAnalysis_UnsafeECB,0
34,Bytes Utility Library,CryptoCheckAnalysis_InsecureCryptoAlgorithm,1
35,Bytes Utility Library,CryptoCheckAnalysis_UnInitializedKey,1
36,Okio,CryptoCheckAnalysis_StaticIV,0
37,Okio,CryptoCheckAnalysis_HardCodedKey,229
38,Okio,CryptoCheckAnalysis_UnsafeECB,0
39,Okio,CryptoCheckAnalysis_InsecureCryptoAlgorithm,5503
40,Okio,CryptoCheckAnalysis_UnInitializedKey,0
41,Facebook Core,CryptoCheckAnalysis_StaticIV,0
42,Facebook Core,CryptoCheckAnalysis_HardCodedKey,0
43,Facebook Core,CryptoCheckAnalysis_UnsafeECB,0
44,Facebook Core,CryptoCheckAnalysis_InsecureCryptoAlgorithm,199
45,Facebook Core,CryptoCheckAnalysis_UnInitializedKey,0
46,Smack,CryptoCheckAnalysis_StaticIV,0
47,Smack,CryptoCheckAnalysis_HardCodedKey,1
48,Smack,CryptoCheckAnalysis_UnsafeECB,0
49,Smack,CryptoCheckAnalysis_InsecureCryptoAlgorithm,67
50,Smack,CryptoCheckAnalysis_UnInitializedKey,0
51,Cloudinary Core Library,CryptoCheckAnalysis_StaticIV,0
52,Cloudinary Core Library,CryptoCheckAnalysis_HardCodedKey,0
53,Cloudinary Core Library,CryptoCheckAnalysis_UnsafeECB,0
54,Cloudinary Core Library,CryptoCheckAnalysis_InsecureCryptoAlgorithm,5
55,Cloudinary Core Library,CryptoCheckAnalysis_UnInitializedKey,0
56,Asynchronous Http Client,CryptoCheckAnalysis_StaticIV,0
57,Asynchronous Http Client,CryptoCheckAnalysis_HardCodedKey,1
58,Asynchronous Http Client,CryptoCheckAnalysis_UnsafeECB,4
59,Asynchronous Http Client,CryptoCheckAnalysis_InsecureCryptoAlgorithm,20
60,Asynchronous Http Client,CryptoCheckAnalysis_UnInitializedKey,0
61,Amplitude Android SDK,CryptoCheckAnalysis_StaticIV,0
62,Amplitude Android SDK,CryptoCheckAnalysis_HardCodedKey,0
63,Amplitude Android SDK,CryptoCheckAnalysis_UnsafeECB,0
64,Amplitude Android SDK,CryptoCheckAnalysis_InsecureCryptoAlgorithm,74
65,Amplitude Android SDK,CryptoCheckAnalysis_UnInitializedKey,0
66,Codec,CryptoCheckAnalysis_StaticIV,0
67,Codec,CryptoCheckAnalysis_HardCodedKey,0
68,Codec,CryptoCheckAnalysis_UnsafeECB,0
69,Codec,CryptoCheckAnalysis_InsecureCryptoAlgorithm,903
70,Codec,CryptoCheckAnalysis_UnInitializedKey,0
71,Scribe OAuth Library,CryptoCheckAnalysis_StaticIV,0
72,Scribe OAuth Library,CryptoCheckAnalysis_HardCodedKey,0
73,Scribe OAuth Library,CryptoCheckAnalysis_UnsafeECB,0
74,Scribe OAuth Library,CryptoCheckAnalysis_InsecureCryptoAlgorithm,40
75,Scribe OAuth Library,CryptoCheckAnalysis_UnInitializedKey,0
76,smbj,CryptoCheckAnalysis_StaticIV,0
77,smbj,CryptoCheckAnalysis_HardCodedKey,0
78,smbj,CryptoCheckAnalysis_UnsafeECB,3
79,smbj,CryptoCheckAnalysis_InsecureCryptoAlgorithm,9
80,smbj,CryptoCheckAnalysis_UnInitializedKey,0
81,com.google.android.gms:play-services-iid,CryptoCheckAnalysis_StaticIV,0
82,com.google.android.gms:play-services-iid,CryptoCheckAnalysis_HardCodedKey,218
83,com.google.android.gms:play-services-iid,CryptoCheckAnalysis_UnsafeECB,0
84,com.google.android.gms:play-services-iid,CryptoCheckAnalysis_InsecureCryptoAlgorithm,888
85,com.google.android.gms:play-services-iid,CryptoCheckAnalysis_UnInitializedKey,0
86,okhttp,CryptoCheckAnalysis_StaticIV,0
87,okhttp,CryptoCheckAnalysis_HardCodedKey,0
88,okhttp,CryptoCheckAnalysis_UnsafeECB,0
89,okhttp,CryptoCheckAnalysis_InsecureCryptoAlgorithm,664
90,okhttp,CryptoCheckAnalysis_UnInitializedKey,0
91,AppNexus Android SDK,CryptoCheckAnalysis_StaticIV,0
92,AppNexus Android SDK,CryptoCheckAnalysis_HardCodedKey,0
93,AppNexus Android SDK,CryptoCheckAnalysis_UnsafeECB,0
94,AppNexus Android SDK,CryptoCheckAnalysis_InsecureCryptoAlgorithm,6
95,AppNexus Android SDK,CryptoCheckAnalysis_UnInitializedKey,0
96,JSON Web Token support for the JVM,CryptoCheckAnalysis_StaticIV,0
97,JSON Web Token support for the JVM,CryptoCheckAnalysis_HardCodedKey,0
