sum,sha256hash
363,4458f8a28baf5155fa0f6c226763b7f12c158a2a7d8575089638a5f2388e929d
1,db7780c4302a9e69184d0385211f42f4fcf7cce45ecf7ce26ae3fbbdbb95952b
22,2845aa80f1786fd50bb50539ca95538cfd7a4ee0de3af92c7aed154fc68f3eb1
8,7890ee968beb67135b29caf2ab4d937a7d942181e054eb6e9d6a331db5d21c70
4,cd1aa9884c7dceed13c2608115f1b697ed8be1fca7bb459f9e8d9e2ec06e532a
1,d16ec51da4bb3ba324eea2f22d6b8292e74698278be3e6fe17a23c5439c42ee9
42,e5e60b53ffad53d47f83dc3f5a5b8ed45a148ab8b89969c2b71a228d0f9206df
24,8935be9ae3dd50f85862739a17ee5a1be5ca752b5be67dd8e8537fd9198c5e40
59,282c81ce991370bef6733207ff37cfcf10c43444f198e26209fb72efcf7d8d76
1,4bcfabee8b4d9efb9e4cf4a3e3c88baff6ec3cca67db1ba3a33fe3c6a5040845
17,803f31e9d88e5f119ebd50a0e58040274cdd87ef349c9f4d35dd688df03557af
48,b638df0a63b8c3541d131f71b4103a1b5fd060a2d19bf0c2f6230a8642998a4b
221,4b95991348be33afc0dd6f7900c3372e71a73634a1288b11258bc3a6e02f2350
12,d1f9fd055df857ad4d2ca8baaff30b6c566b2aece02296c16f034becff8067b9
13,e07384198f3d33c0c01776b771a9d398207f6b0e12a0f382f663bc00daf362f6
10,439084e615c962a029813f527d2fd2043bca15fb318535e830a7f09588c22c35
5,d59fabdac9792a42cfc7e126a6e3a81bc308d9dc6601c237bd754c4395479c35
4,fb2e69cc362699e83e8816331be21c1fe6051b3ec550f185385c048c0b69e704
85,d4ee27268aa378f4ec3dfffd33d3c81cfc8303fe6f12af8900a89bd131ead85c
25,796088db0ee20b05e7540067ef70b6130be68adce7ea58205e44f4f63e67da64
49,21949fb89096b9a76101e21ba1ac107231415326a2e017c2ca5bdaba8017c973
8,3a8cf3905e9dd8021bd018f607809db76d834d27d94153ef962964ab23817216
57,b6d92f4d3b5321749c7b77817cc0f587e158d37cb16089112252a0938c781372
16,71c69d964086e8af064aae3d97b34210288fac522bb1a8bddef8caaa2370277b
