id,jobId,algorithm,count,libraryPercentage
2,3645,HmacSha256,7,1
3,3645,RSA,2,0
4,3645,ECDH,4,1
5,3645,AES/ECB/NOPADDING,2,1
6,3645,HMAC,2,1
7,3645,AES/CTR/NoPadding,4,1
8,3645,HMACSHA256,4,1
9,3645,AES,6,0
10,3645,HmacSha1,7,1
11,3645,AES/CTR/NOPADDING,1,1
12,3645,HMACSHA512,4,1
13,3645,PBKDF2WithHmacSHA1,1,0
14,3645,HMACSHA1,4,1
15,3645,EC,5,1
16,3645,AES/CBC/PKCS5Padding,3,0
17,3645,MD5,5,0
18,3645,AES/GCM/NoPadding,4,1
19,3645,HmacSha512,7,1
20,2398,RSA,1,1
21,2398,[],1,1
22,2398,{},1,1
23,2398,SHA-1,1,0
24,2398,CRC,1,0
25,2398,SHA-384,1,1
26,2398,SHA-256,2,1
27,2398,SHA,1,1
28,2398,AES/CBC/PKCS5Padding,1,1
29,2398,SHA-512,1,1
30,2398,MD5,9,1
31,2398,AES,1,1
32,4156,RSA,2,0
33,4156,SHA1,5,0
34,4156,SHA-1,7,0
35,4156,HMAC,1,1
36,4156,AES/CBC/PKCS5PADDING,2,0
37,4156,SHA,2,0
38,4156,AES,11,0
39,4156,DSA,1,1
40,4156,Blowfish/CBC/PKCS5Padding,1,0
41,4156,SHA-256,8,0
42,4156,;,1,0
43,4156,AES/GCM-SIV/NoPadding,1,1
44,4156,AES/CBC/PKCS5Padding,1,1
45,4156,AES/CBC/PKCS7Padding,3,0
46,4156,EC,1,1
47,4156,MD5,24,0
48,4156,Blowfish,1,0
49,2906,[],1,1
50,2906,{},1,1
51,2906,AES/CBC/PKCS5Padding,1,1
52,2906,MD5,6,1
53,2906,AES,1,1
54,2582,0,1,0
55,2582,RSA,1,0
56,2582,SHA-1,1,0
57,2582,false,1,0
58,2582,AES/CBC/PKCS5Padding,1,1
59,2582,MD5,7,0
60,2582,AES,1,1
61,1979,SHA256,1,0
62,1979,0,1,1
63,1979,{},1,1
64,1979,SHA-1,1,0
65,1979,SHA1,1,1
66,1979,false,1,1
67,1979,AES/CBC/PKCS5Padding,2,0
68,1979,RSA/ECB/NoPadding,1,0
69,1979,MD5,7,0
70,1979,AES,2,0
71,3509,RSA,2,0
72,3509,DES,1,0
73,3509,SHA-1,3,0
74,3509,SHA1,1,0
75,3509,SHA-256,1,0
76,3509,PBEWITHSHAAND256BITAES-CBC-BC,1,0
77,3509,AES/CBC/PKCS5Padding,3,0
78,3509,MD5,7,0
79,3509,AES,3,0
80,2771,RSA,2,0
81,2771,SHA1,1,1
82,2771,SHA-256,1,0
83,2771,AES/CBC/PKCS5Padding,1,0
84,2771,AES,2,0
85,2771,MD5,1,1
86,2442,0,1,0
87,2442,SHA-1,3,0
88,2442,false,1,0
89,2442,MD5,3,0
90,2224,RSA,1,0
91,2224,[],1,0
92,2224,{},1,0
93,2224,AES/CBC/PKCS5Padding,1,0
94,2224,MD5,6,0
95,2224,AES,1,0
96,3420,HmacSha256,10,1
97,3420,ECDH,10,1
98,3420,AES/ECB/NOPADDING,2,1
99,3420,AES/CTR/NoPadding,10,1
100,3420,HMAC,2,1
101,3420,HMACSHA256,10,1
102,3420,PBEWithSHA256And256BitAES-CBC-BC,1,0
103,3420,AES,7,0
104,3420,HmacSha1,10,1
105,3420,AES/CTR/NOPADDING,1,1
106,3420,HMACSHA512,10,1
107,3420,CRC,1,0
108,3420,SHA-256,1,0
109,3420,HMACSHA1,10,1
110,3420,EC,11,1
111,3420,AES/CBC/PKCS5Padding,1,1
112,3420,AES/GCM/NoPadding,10,1
113,3420,HmacSha512,10,1
114,3420,MD5,4,1
115,2616,[],1,1
116,2616,{},1,1
117,2616,AES/CBC/PKCS5Padding,1,1
118,2616,AES,1,1
119,2616,MD5,4,1
120,1090,MD5,3,0
121,1090,AES,5,0
122,2343,RSA,1,1
123,2343,[],1,1
124,2343,{},1,1
125,2343,AES/CBC/PKCS5Padding,1,1
126,2343,MD5,6,1
127,2343,AES,1,1
128,674,MD5,1,0
129,2850,RSA,2,0
130,2850,SHA-1,2,0
131,2850,SHA1,1,0
132,2850,SHA-256,1,0
133,2850,AES/CBC/PKCS5Padding,1,1
134,2850,MD5,11,0
135,2850,AES,2,1
136,3771,RSA,1,0
137,3771,SHA-1,4,0
138,3771,SHA1,1,0
139,3771,CRC,1,0
140,3771,HmacSHA1,2,0
141,3771,SHA-256,1,0
142,3771,AES/CBC/PKCS5Padding,1,0
