id,jobId,category,vulnerability,count
1,3643,Cryptography,CryptoCheckAnalysis_StaticIV,2
2,3643,Cryptography,CryptoCheckAnalysis_HardCodedKey,5
3,3643,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,131
4,3643,Cryptography,CryptoCheckAnalysis_UnsafeECB,38
5,3203,Cryptography,CryptoCheckAnalysis_StaticIV,1
6,3203,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
7,3203,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,37
8,3203,Cryptography,CryptoCheckAnalysis_UnsafeECB,3
9,758,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,2
10,927,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,6
11,927,Cryptography,CryptoCheckAnalysis_UnsafeECB,2
12,3915,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,1
13,2916,Cryptography,CryptoCheckAnalysis_StaticIV,4
14,2916,Cryptography,CryptoCheckAnalysis_HardCodedKey,9
15,2916,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,58
16,2916,Cryptography,CryptoCheckAnalysis_UnsafeECB,11
17,1963,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
18,1963,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,21
19,1963,Cryptography,CryptoCheckAnalysis_UnsafeECB,2
20,3480,Cryptography,CryptoCheckAnalysis_StaticIV,1
21,3480,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,22
22,3480,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
23,2472,Cryptography,CryptoCheckAnalysis_StaticIV,1
24,2472,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
25,2472,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,33
26,2472,Cryptography,CryptoCheckAnalysis_UnsafeECB,5
27,1178,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
28,1178,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,9
29,1178,Cryptography,CryptoCheckAnalysis_UnsafeECB,3
30,2797,Cryptography,CryptoCheckAnalysis_StaticIV,6
31,2797,Cryptography,CryptoCheckAnalysis_HardCodedKey,7
32,2797,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,53
33,2797,Cryptography,CryptoCheckAnalysis_UnsafeECB,10
34,3180,Cryptography,CryptoCheckAnalysis_HardCodedKey,4
35,3180,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,90
36,3180,Cryptography,CryptoCheckAnalysis_UnsafeECB,24
37,2238,Cryptography,CryptoCheckAnalysis_StaticIV,1
38,2238,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
39,2238,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,5
40,2238,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
41,3407,Cryptography,CryptoCheckAnalysis_StaticIV,2
42,3407,Cryptography,CryptoCheckAnalysis_HardCodedKey,2
43,3407,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,21
44,3407,Cryptography,CryptoCheckAnalysis_UnsafeECB,3
45,2606,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,5
46,2351,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,1
47,656,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,4
48,3427,Cryptography,CryptoCheckAnalysis_StaticIV,1
49,3427,Cryptography,CryptoCheckAnalysis_HardCodedKey,2
50,3427,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,208
51,3427,Cryptography,CryptoCheckAnalysis_UnsafeECB,34
52,3532,Cryptography,CryptoCheckAnalysis_StaticIV,5
53,3532,Cryptography,CryptoCheckAnalysis_HardCodedKey,4
54,3532,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,119
55,3532,Cryptography,CryptoCheckAnalysis_UnsafeECB,30
56,1310,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
57,1310,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,5
58,1310,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
59,2784,Cryptography,CryptoCheckAnalysis_StaticIV,1
60,2784,Cryptography,CryptoCheckAnalysis_HardCodedKey,2
61,2784,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,13
62,2784,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
63,1957,Cryptography,CryptoCheckAnalysis_StaticIV,2
64,1957,Cryptography,CryptoCheckAnalysis_HardCodedKey,4
65,1957,Cryptography,CryptoCheckAnalysis_UnsafeECB,7
66,1957,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,36
67,2106,Cryptography,CryptoCheckAnalysis_StaticIV,1
68,2106,Cryptography,CryptoCheckAnalysis_HardCodedKey,4
69,2106,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,26
70,2106,Cryptography,CryptoCheckAnalysis_UnsafeECB,2
71,2492,Cryptography,CryptoCheckAnalysis_StaticIV,3
72,2492,Cryptography,CryptoCheckAnalysis_HardCodedKey,3
73,2492,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,21
74,2492,Cryptography,CryptoCheckAnalysis_UnsafeECB,3
75,1607,Cryptography,CryptoCheckAnalysis_StaticIV,1
76,1607,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
77,1607,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,5
78,1607,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
79,3239,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,6
80,4190,Cryptography,CryptoCheckAnalysis_StaticIV,3
81,4190,Cryptography,CryptoCheckAnalysis_HardCodedKey,3
82,4190,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,47
83,4190,Cryptography,CryptoCheckAnalysis_UnsafeECB,3
84,3538,Cryptography,CryptoCheckAnalysis_StaticIV,1
85,3538,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
86,3538,Cryptography,CryptoCheckAnalysis_UnsafeECB,4
87,3538,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,12
88,662,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,36
89,2191,Cryptography,CryptoCheckAnalysis_StaticIV,1
90,2191,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
91,2191,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,10
92,2191,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
93,2561,Cryptography,CryptoCheckAnalysis_StaticIV,1
94,2561,Cryptography,CryptoCheckAnalysis_HardCodedKey,2
95,2561,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,8
96,2561,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
97,2162,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,5
98,3847,Cryptography,CryptoCheckAnalysis_StaticIV,1
99,3847,Cryptography,CryptoCheckAnalysis_HardCodedKey,3
100,3847,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,20
101,3847,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
102,3979,Cryptography,CryptoCheckAnalysis_StaticIV,1
103,3979,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
104,3979,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,98
105,3979,Cryptography,CryptoCheckAnalysis_UnsafeECB,14
106,3949,Cryptography,CryptoCheckAnalysis_StaticIV,5
107,3949,Cryptography,CryptoCheckAnalysis_HardCodedKey,3
108,3949,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,73
109,3949,Cryptography,CryptoCheckAnalysis_UnsafeECB,10
110,3104,Cryptography,CryptoCheckAnalysis_StaticIV,1
111,3104,Cryptography,CryptoCheckAnalysis_HardCodedKey,2
112,3104,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,16
113,3104,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
114,1496,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
115,1496,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,8
116,1496,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
117,3658,Cryptography,CryptoCheckAnalysis_StaticIV,3
118,3658,Cryptography,CryptoCheckAnalysis_HardCodedKey,3
119,3658,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,95
120,3658,Cryptography,CryptoCheckAnalysis_UnsafeECB,5
121,3391,Cryptography,CryptoCheckAnalysis_HardCodedKey,2
122,3391,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,20
123,3391,Cryptography,CryptoCheckAnalysis_UnsafeECB,2
124,3678,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,33
125,3678,Cryptography,CryptoCheckAnalysis_UnsafeECB,2
126,3299,Cryptography,CryptoCheckAnalysis_StaticIV,2
127,3299,Cryptography,CryptoCheckAnalysis_HardCodedKey,2
128,3299,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,21
129,3299,Cryptography,CryptoCheckAnalysis_UnsafeECB,3
130,3485,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
131,3485,Cryptography,CryptoCheckAnalysis_UnsafeECB,24
132,3485,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,125
133,3142,Cryptography,CryptoCheckAnalysis_StaticIV,3
134,3142,Cryptography,CryptoCheckAnalysis_HardCodedKey,4
135,3142,Cryptography,CryptoCheckAnalysis_UnsafeECB,3
136,3142,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,14
137,3996,Cryptography,CryptoCheckAnalysis_HardCodedKey,3
138,3996,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,111
139,3996,Cryptography,CryptoCheckAnalysis_UnsafeECB,8
140,2865,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,7
141,2865,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
142,1251,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,9
143,1251,Cryptography,CryptoCheckAnalysis_UnsafeECB,2
144,2214,Cryptography,CryptoCheckAnalysis_StaticIV,1
145,2214,Cryptography,CryptoCheckAnalysis_HardCodedKey,2
146,2214,Cryptography,CryptoCheckAnalysis_UnsafeECB,5
147,2214,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,47
148,4015,Cryptography,CryptoCheckAnalysis_StaticIV,2
149,4015,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
150,4015,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,59
151,4015,Cryptography,CryptoCheckAnalysis_UnsafeECB,5
152,1777,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,6
153,2067,Cryptography,CryptoCheckAnalysis_StaticIV,1
154,2067,Cryptography,CryptoCheckAnalysis_HardCodedKey,2
155,2067,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,26
156,2067,Cryptography,CryptoCheckAnalysis_UnsafeECB,4
157,4121,Cryptography,CryptoCheckAnalysis_StaticIV,2
158,4121,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,15
159,4121,Cryptography,CryptoCheckAnalysis_UnsafeECB,4
160,2868,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,1
161,2263,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
162,2263,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,4
163,2263,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
164,3004,Cryptography,CryptoCheckAnalysis_StaticIV,1
165,3004,Cryptography,CryptoCheckAnalysis_HardCodedKey,2
166,3004,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,15
167,3004,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
168,1994,Cryptography,CryptoCheckAnalysis_StaticIV,1
169,1994,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
170,1994,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,17
171,1994,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
172,2949,Cryptography,CryptoCheckAnalysis_StaticIV,1
173,2949,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
174,2949,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,24
175,2949,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
176,3109,Cryptography,CryptoCheckAnalysis_StaticIV,4
177,3109,Cryptography,CryptoCheckAnalysis_HardCodedKey,7
178,3109,Cryptography,CryptoCheckAnalysis_UnsafeECB,6
179,3109,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,34
180,3990,Cryptography,CryptoCheckAnalysis_StaticIV,2
181,3990,Cryptography,CryptoCheckAnalysis_HardCodedKey,6
182,3990,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,98
183,3990,Cryptography,CryptoCheckAnalysis_UnsafeECB,9
184,2088,Cryptography,CryptoCheckAnalysis_StaticIV,1
185,2088,Cryptography,CryptoCheckAnalysis_HardCodedKey,2
186,2088,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,9
187,2088,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
188,4007,Cryptography,CryptoCheckAnalysis_StaticIV,3
189,4007,Cryptography,CryptoCheckAnalysis_HardCodedKey,3
190,4007,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,47
191,4007,Cryptography,CryptoCheckAnalysis_UnsafeECB,3
192,1202,Cryptography,CryptoCheckAnalysis_HardCodedKey,2
193,1202,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,4
194,1202,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
195,963,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
196,963,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,3
197,963,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
198,2811,Cryptography,CryptoCheckAnalysis_StaticIV,3
199,2811,Cryptography,CryptoCheckAnalysis_HardCodedKey,2
200,2811,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,26
201,2811,Cryptography,CryptoCheckAnalysis_UnsafeECB,5
202,636,Cryptography,CryptoCheckAnalysis_StaticIV,1
203,636,Cryptography,CryptoCheckAnalysis_HardCodedKey,3
204,636,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,45
205,636,Cryptography,CryptoCheckAnalysis_UnsafeECB,8
206,2169,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
207,2169,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,6
208,903,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,6
209,3844,Cryptography,CryptoCheckAnalysis_StaticIV,2
210,3844,Cryptography,CryptoCheckAnalysis_HardCodedKey,3
211,3844,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,224
212,3844,Cryptography,CryptoCheckAnalysis_UnsafeECB,42
213,1181,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,8
214,1181,Cryptography,CryptoCheckAnalysis_UnsafeECB,2
215,3503,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,2
216,3340,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,3
217,2045,Cryptography,CryptoCheckAnalysis_StaticIV,1
218,2045,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
219,2045,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
220,2045,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,5
221,3363,Cryptography,CryptoCheckAnalysis_HardCodedKey,2
222,3363,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,48
