id,jobId,category,numVulnerabilities,numLibVulns,libraryPercentage
17,3617,Cryptography,194,137,41.3897285461426
18,752,Cryptography,48,11,18.6440677642822
19,1216,Cryptography,5,0,0
20,2852,Cryptography,13,11,45.8333358764648
21,4129,Cryptography,12,3,20
22,2885,Cryptography,22,11,33.3333358764648
23,1980,Cryptography,13,6,31.5789451599121
24,3482,Cryptography,191,116,37.7850189208984
25,2483,Cryptography,59,58,49.5726509094238
26,1200,Cryptography,5,0,0
27,2770,Cryptography,15,12,44.4444465637207
28,1723,Cryptography,13,7,35
29,2198,Cryptography,15,14,48.2758598327637
30,3386,Cryptography,17,3,15.0000009536743
31,1283,Cryptography,6,1,14.2857151031494
32,2594,Cryptography,7,7,50
33,1055,Cryptography,15,0,0
34,2342,Cryptography,18,18,50
35,659,Cryptography,21,4,16
36,2186,Cryptography,2,1,33.3333358764648
37,614,Cryptography,1,0,0
38,2935,Cryptography,33,1,2.94117641448975
39,2780,Cryptography,10,8,44.4444465637207
40,3355,Cryptography,9,2,18.1818180084229
41,2108,Cryptography,33,29,46.7741928100586
42,2399,Cryptography,3,0,0
43,1584,Cryptography,27,1,3.57142877578735
44,3079,Cryptography,169,141,45.4838714599609
45,3535,Cryptography,3,0,0
46,2179,Cryptography,6,3,33.3333358764648
47,2509,Cryptography,16,13,44.8275871276855
48,3403,Cryptography,4,1,20
49,3657,Cryptography,29,28,49.1228065490723
50,634,Cryptography,1,0,0
51,3961,Cryptography,31,1,3.125
52,3924,Cryptography,44,32,42.1052627563477
53,3084,Cryptography,84,83,49.7005996704102
54,1477,Cryptography,28,4,12.5
55,3632,Cryptography,105,105,50
56,3350,Cryptography,167,137,45.0657920837402
57,3279,Cryptography,154,154,50
58,2442,Cryptography,8,4,33.3333358764648
59,1880,Cryptography,32,0,0
60,966,Cryptography,10,0,0
61,1878,Cryptography,58,7,10.7692308425903
62,3146,Cryptography,112,112,50
63,3967,Cryptography,2,0,0
64,2839,Cryptography,30,19,38.7755088806152
65,2232,Cryptography,1,0,0
66,3979,Cryptography,114,29,20.2797203063965
67,1012,Cryptography,15,0,0
68,2053,Cryptography,5,0,0
69,4123,Cryptography,93,51,35.4166641235352
70,2816,Cryptography,17,14,45.1612892150879
71,2210,Cryptography,17,16,48.4848480224609
72,3001,Cryptography,11,11,50
73,4114,Cryptography,140,50,26.3157901763916
74,3976,Cryptography,58,21,26.5822792053223
75,1915,Cryptography,24,14,36.8421058654785
76,2052,Cryptography,21,1,4.54545450210571
77,4026,Cryptography,36,0,0
78,4183,Cryptography,65,49,42.9824562072754
79,619,Cryptography,9,0,0
80,3298,Cryptography,155,122,44.0433197021484
81,3790,Cryptography,14,1,6.66666698455811
82,3494,Cryptography,215,179,45.4314727783203
83,3314,Cryptography,35,30,46.1538467407227
84,2088,Cryptography,13,9,40.9090919494629
85,1989,Cryptography,7,7,50
86,3367,Cryptography,38,17,30.9090919494629
87,1900,Cryptography,7,1,12.5
88,4161,Cryptography,145,79,35.2678565979004
89,1566,Cryptography,9,0,0
90,775,Cryptography,3,0,0
91,3127,Cryptography,26,12,31.5789451599121
92,3888,Cryptography,141,65,31.5533962249756
93,3398,Cryptography,68,3,4.22535181045532
94,3069,Cryptography,1,0,0
95,4020,Cryptography,169,70,29.288703918457
96,2258,Cryptography,15,15,50
97,3174,Cryptography,9,0,0
98,2063,Cryptography,11,10,47.6190490722656
99,2737,Cryptography,19,16,45.7142868041992
100,705,Cryptography,6,5,45.4545478820801
101,4122,Cryptography,163,110,40.293041229248
102,2802,Cryptography,18,15,45.4545478820801
103,3327,Cryptography,5,4,44.4444465637207
104,1959,Cryptography,12,12,50
105,2997,Cryptography,15,12,44.4444465637207
106,3305,Cryptography,12,9,42.8571434020996
107,1709,Cryptography,43,5,10.4166660308838
108,1635,Cryptography,22,12,35.294116973877
109,4135,Cryptography,148,99,40.0809707641602
110,2057,Cryptography,18,11,37.9310340881348
111,3748,Cryptography,52,36,40.9090919494629
112,2085,Cryptography,19,2,9.5238094329834
113,903,Cryptography,6,5,45.4545478820801
114,3798,Cryptography,73,64,46.7153282165527
115,3372,Cryptography,17,14,45.1612892150879
116,2144,Cryptography,29,13,30.9523811340332
117,2456,Cryptography,26,1,3.70370364189148
118,4029,Cryptography,72,46,38.9830513000488
119,4004,Cryptography,221,136,38.0952377319336
120,897,Cryptography,1,0,0
121,2829,Cryptography,9,8,47.0588226318359
122,2832,Cryptography,16,11,40.7407417297363
123,2957,Cryptography,11,4,26.6666679382324
124,1895,Cryptography,16,12,42.8571434020996
125,2142,Cryptography,12,9,42.8571434020996
126,4181,Cryptography,56,43,43.4343414306641
127,3451,Cryptography,74,74,50
128,3569,Cryptography,3,0,0
129,3860,Cryptography,84,33,28.2051296234131
130,2528,Cryptography,13,8,38.0952377319336
131,3878,Cryptography,233,148,38.8451461791992
132,3689,Cryptography,18,15,45.4545478820801
133,3886,Cryptography,80,43,34.9593505859375
134,3081,Cryptography,68,65,48.8721809387207
135,1230,Cryptography,8,0,0
136,1147,Cryptography,10,2,16.6666679382324
137,700,Cryptography,3,0,0
138,3655,Cryptography,133,109,45.0413208007812
139,1583,Cryptography,8,7,46.6666679382324
140,3207,Cryptography,17,14,45.1612892150879
141,2163,Cryptography,12,11,47.8260879516602
142,1548,Cryptography,1,0,0
143,3858,Cryptography,212,167,44.0633239746094
144,3479,Cryptography,192,151,44.023323059082
145,924,Cryptography,2,2,50
146,2167,Cryptography,7,0,0
147,1457,Cryptography,10,0,0
148,3387,Cryptography,42,9,17.6470584869385
149,3753,Cryptography,233,162,41.0126609802246
150,2617,Cryptography,9,7,43.75
151,3093,Cryptography,8,8,50
